stock,lb_pval_lag5,lb_pval_lag10,lb_pval_lag20,lb_pass,arch_pval_lag5,arch_pval_lag10,arch_pval_lag20,arch_pass,overall_pass
AXISBANK,0.022955375873963336,0.13466720223921697,0.256198474090909,False,0.06697522752045273,0.00041764621569378047,0.004371964412507423,False,False
BAJFINANCE,0.545289757415232,0.3309656972861028,0.7491805012524412,True,0.5965688731382397,0.9243949302718202,0.9921818533105017,True,True
DRREDDY,0.10686804340527287,0.3650190331850128,0.3099680581537197,True,0.9356311226181995,0.2026196047105318,0.3700575557867578,True,True
HDFCBANK,0.3764462350416252,0.20657673459117187,0.2666933053507567,True,0.8654322464871719,0.9772214001902095,0.9929859120886312,True,True
HINDUNILVR,0.6959581604506817,0.39475618910335564,0.0966164568898668,True,0.7363512916263586,0.892735801577586,0.9849091594974791,True,True
ICICIBANK,0.029516839500317277,0.148397276746428,0.4812372518190178,False,0.6204801104099,0.9024278856108423,0.9901129704479831,True,False
INFY,0.9767612518556938,0.6219351274385668,0.722404694178033,True,0.9420260329421356,0.9761614482078016,0.9808755135006609,True,True
ITC,0.40876892984411084,0.4602267302353603,0.6099053605820444,True,0.6609843772596669,0.915164850319074,0.9909665943512885,True,True
MARUTI,0.1862544465031267,0.10643621560013287,0.4521616819830769,True,0.6840809592421014,0.8261479521219484,0.9500218803443375,True,True
ONGC,0.6325310240936214,0.250634732401018,0.12351387200504269,True,0.06733198738492052,0.30960504064028405,0.6883277084807147,True,True
RELIANCE,0.2878141040619214,0.5735899188796306,0.8688166371988587,True,0.7760512026428024,0.6863457717078101,0.9222409816060142,True,True
SUNPHARMA,0.11280661403448146,0.3219365381942039,0.7009679548110488,True,0.1699143492159558,0.3292869672551743,0.7420346440753268,True,True
TCS,0.5516158786326985,0.5018758771840838,0.5122155849396357,True,0.0822239199610515,0.018754821377274192,0.041968384997910405,False,False
WIPRO,0.8685651006604058,0.967935801516614,0.6616911968388954,True,0.9986880330853845,0.9966376898475905,0.9999839134471087,True,True
