stock,expiry,strike_type,spot,strike,T,bs_price,mc_raw,mc_cv,diff_rupee,diff_pct,se,iv_bs,iv_mc
RELIANCE,30d,ATM,1255.0,1255.0,0.11904761904761904,43.459326343670455,46.50320677413222,46.09758660222288,2.638260258552428,6.07064232355887,0.6852331254532767,22.33722302027307,23.878840713630968
RELIANCE,30d,OTM_5pct,1255.0,1317.75,0.11904761904761904,18.54494912425878,21.317385260366684,21.06205681311404,2.517107688855262,13.573009405362107,0.482488202333316,22.33722302027307,23.96776153318627
RELIANCE,30d,OTM_10pct,1255.0,1380.5,0.11904761904761904,6.448267055401033,8.570153003926468,8.325206067129919,1.8769390117288864,29.107650095800125,0.30877098980237105,22.33722302027307,24.223996171700694
RELIANCE,60d,ATM,1255.0,1255.0,0.23809523809523808,64.30542993219694,70.97632125600543,70.58011677385876,6.2746868416618184,9.757631429068727,1.0378069342721512,22.33722302027307,24.95339317388228
RELIANCE,60d,OTM_5pct,1255.0,1317.75,0.23809523809523808,36.77884040562594,43.25901265329596,42.92341538444323,6.144574978817289,16.706820854192493,0.8352733080374499,22.33722302027307,24.92085157112011
RELIANCE,60d,OTM_10pct,1255.0,1380.5,0.23809523809523808,19.228911901106585,24.83882701892668,24.52542867524792,5.296516774141335,27.544547509401873,0.6412562651867253,22.33722302027307,24.98896674344287
RELIANCE,90d,ATM,1255.0,1255.0,0.35714285714285715,81.41256786086149,91.97223408136104,91.16208083734946,9.749512976487978,11.975439705022481,1.3576720463499088,22.33722302027307,25.685947111126357
RELIANCE,90d,OTM_5pct,1255.0,1317.75,0.35714285714285715,52.63056737386751,63.430403380224426,62.55828534512596,9.927717971258453,18.863026690812063,1.1584804673365972,22.33722302027307,25.674365341993187
RELIANCE,90d,OTM_10pct,1255.0,1380.5,0.35714285714285715,32.216694765168654,42.122573432208334,41.465496804300436,9.248802039131782,28.708103381018468,0.9626874155263633,22.33722302027307,25.72989972673319
HDFCBANK,30d,ATM,1770.0,1770.0,0.11904761904761904,52.957425373993715,58.336086367457604,57.85905000572144,4.901624631727728,9.255783484774192,0.8515038435745494,18.879826241151484,20.913582326313325
HDFCBANK,30d,OTM_5pct,1770.0,1858.5,0.11904761904761904,18.888984225768127,23.638637551402134,23.355452698760008,4.466468472991881,23.64589021626043,0.5683367838406619,18.879826241151484,21.02750249314374
HDFCBANK,30d,OTM_10pct,1770.0,1947.0000000000002,0.11904761904761904,4.985439222003151,8.180568006812157,7.897473171998827,2.912033949995676,58.410780280771725,0.33740362516066447,18.879826241151484,21.41469185581699
HDFCBANK,60d,ATM,1770.0,1770.0,0.23809523809523808,79.02783172096122,90.79200403352533,90.34490590813505,11.31707418717383,14.320365295018092,1.308037671312895,18.879826241151484,22.23401305484077
HDFCBANK,60d,OTM_5pct,1770.0,1858.5,0.23809523809523808,40.42422071404292,51.78247537568549,51.39540139572956,10.97118068168664,27.140116711947837,1.023018516786316,18.879826241151484,22.194609932291456
HDFCBANK,60d,OTM_10pct,1770.0,1947.0000000000002,0.23809523809523808,18.100515352984644,27.37584517938618,27.08117064152801,8.980655288543367,49.61546736879247,0.754300219513464,18.879826241151484,22.32316261594449
HDFCBANK,90d,ATM,1770.0,1770.0,0.35714285714285715,100.68192755765199,118.89164760085526,117.9330008597344,17.251073302082418,17.134230264119836,1.7255994808394497,18.879826241151484,23.096045686378698
HDFCBANK,90d,OTM_5pct,1770.0,1858.5,0.35714285714285715,59.79512614074997,78.3546616198646,77.34381248144967,17.548686340699703,29.348021274162665,1.4454923924839205,18.879826241151484,23.08098033514646
HDFCBANK,90d,OTM_10pct,1770.0,1947.0000000000002,0.35714285714285715,32.731216289874396,49.25562803924545,48.57818745369408,15.846971163819681,48.41546682370627,1.1715655468461779,18.879826241151484,23.165542814427997
INFY,30d,ATM,1930.0,1930.0,0.11904761904761904,66.05736615471494,74.41483369759939,73.80006030080898,7.742694146094038,11.721166914163126,1.09607440525701,22.04208199830128,24.983696408477073
INFY,30d,OTM_5pct,1930.0,2026.5,0.11904761904761904,27.82666497768696,35.38117248260992,34.99655895829976,7.169893980612798,25.766271259462954,0.7822480200577132,22.04208199830128,25.050115917130995
INFY,30d,OTM_10pct,1930.0,2123.0,0.11904761904761904,9.490906358718291,14.805169697302377,14.43009892601242,4.939192567294128,52.04131597776238,0.509128345775147,22.04208199830128,25.218129216588377
INFY,60d,ATM,1930.0,1930.0,0.23809523809523808,97.80449221281447,112.17383514093788,111.57514416884872,13.770651956034257,14.079774501635836,1.6372010503446695,22.04208199830128,25.77507830002318
INFY,60d,OTM_5pct,1930.0,2026.5,0.23809523809523808,55.48651604836891,69.50809745897513,69.0003851120159,13.513869063646993,24.355230830976364,1.3235089814494732,22.04208199830128,25.734248552700855
INFY,60d,OTM_10pct,1930.0,2123.0,0.23809523809523808,28.693115998719918,40.65584823139465,40.18376309830501,11.49064709958509,40.046703537174984,1.021324234734201,22.04208199830128,25.767300514713153
INFY,90d,ATM,1930.0,1930.0,0.35714285714285715,123.88113507606568,143.3886919594392,142.1612801223805,18.28014504631483,14.7561975720439,2.1067577629102936,22.04208199830128,26.12479882322075
INFY,90d,OTM_5pct,1930.0,2026.5,0.35714285714285715,79.59062239182549,99.51079671661184,98.19030369158769,18.599681299762196,23.36918689766712,1.797972729781464,22.04208199830128,26.107457613323792
INFY,90d,OTM_10pct,1930.0,2123.0,0.35714285714285715,48.332598105583656,66.4812194562036,65.4935550128298,17.160956907246145,35.50596818684906,1.4939521925422097,22.04208199830128,26.134264874411983
