,PC1,PC2,PC3,PC4,PC5,communality
AXISBANK,0.3207124410158035,-0.3054311081313388,-0.06177377449917156,-0.044965857992151644,-0.10511370646711844,0.21303145052475317
BAJFINANCE,0.3049269020021428,-0.26884881277205325,-0.11382812748800024,-0.11728374585042863,-0.04815068724927375,0.19429090802427665
DRREDDY,0.1779988460789126,0.3041757312760129,0.5506346620698837,-0.16819274513603216,-0.28061761634744653,0.5344400418964536
HDFCBANK,0.3017705273472734,-0.2507560381624064,-0.14326179650572612,-0.18700362798045156,-0.17313171190556992,0.23941293073361014
HINDUNILVR,0.2274455798476963,0.11909357967404396,0.19212838156316522,-0.5040998131082263,0.5358888623127189,0.6441215818404827
ICICIBANK,0.33135317711065815,-0.3124744257962417,-0.10640685293030916,-0.03353605772534507,-0.1993864719722696,0.2596372454818569
INFY,0.2635478900065093,0.4096369537685479,-0.3210929145342355,-0.04374759578434394,-0.06994137359257041,0.34716623186067436
ITC,0.2292695813153342,-0.06637659920198169,0.18410231644471794,0.1932797149846681,0.6683764866614634,0.5749482329049163
MARUTI,0.2863961189664928,-0.17146835230724275,0.0593559344510223,-0.10726494985580515,0.022679176210157033,0.12696737425772403
ONGC,0.22226118397070052,-0.02507810335676272,0.09965884904105526,0.7522477268472461,0.08014185832102037,0.6322601913622133
RELIANCE,0.28944571139922204,-0.02709466832196133,0.0775264241689276,0.19858224618351347,0.014721552696946083,0.13017491995639782
SUNPHARMA,0.21251021149172258,0.14209524434542276,0.5478551102402662,0.05697543107084499,-0.3017317087558966,0.45978509408467816
TCS,0.26413471878326683,0.4188101632346484,-0.3170938972613804,0.010859764350803743,0.013796459728533852,0.3460259189585552
WIPRO,0.2602619696646234,0.410659730333062,-0.23262740088148792,0.07918203289847968,-0.031222894927683306,0.2977378781134101
