PC,eigenvalue,var_explained,cumulative,port_var_pct
PC1,5.2041945353065096,37.147684358075054,37.147684358075054,99.36247807420176
PC2,1.570050812650111,11.207066073103759,48.354750431178815,0.31246620897431904
PC3,1.1462137460738528,8.181705383449989,56.53645581462881,0.2767383271235809
PC4,0.9199639990722038,6.566728439238469,63.10318425386727,0.009317046608119349
PC5,0.7974386511795541,5.692139121237231,68.7953233751045,0.017819595852788035
PC6,0.742869607505505,5.302623780030602,74.0979471551351,0.0006469331560182835
PC7,0.6095463656827551,4.350958796866184,78.4489059520013,0.004876486370402129
PC8,0.5893164188368082,4.2065568774307085,82.655462829432,0.001488029049244952
PC9,0.5056448354573677,3.6093068038539045,86.26476963328591,0.0006980634532939685
PC10,0.4823856847298175,3.4432823434302637,89.70805197671618,0.005778516161441837
PC11,0.43410435086791244,3.0986488485597152,92.8067008252759,0.00016713828920594156
PC12,0.4214192676462359,3.0081023740999546,95.81480319937585,0.006958762110338114
PC13,0.3431550706368109,2.4494503738105213,98.26425357318637,0.00019408885643762072
PC14,0.24316891416510988,1.7357464268136404,100.0,0.0003727297930379533
